Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-June-2024,1011.15,1023.00,999.00,1003.50,1013.380980027868091035,34448,2345,34908948.00,14134,41.03,24.00,-7.65
25-June-2024,1016.15,1028.75,1011.00,1013.45,1018.612456869234560946,28402,1944,28930631.00,9384,33.04,17.75,-2.70
24-June-2024,1009.50,1027.25,999.25,1016.80,1013.078428327380027954,38634,2672,39139272.00,15862,41.06,28.00,7.30
21-June-2024,1016.80,1022.00,1002.35,1008.55,1015.574101181425832711,105889,5715,107538126.00,49498,46.75,19.65,-8.25
20-June-2024,1017.20,1030.60,1006.00,1016.80,1017.057396462329570913,46867,2444,47666429.00,17091,36.47,24.60,-0.40
19-June-2024,1028.95,1031.55,1002.00,1007.05,1009.635047702598969185,54714,3724,55241172.00,29059,53.11,29.55,-21.90
18-June-2024,1019.05,1034.00,1019.05,1025.65,1025.964565334773218142,44448,1870,45602073.00,26197,58.94,14.95,6.60
14-June-2024,1019.20,1038.00,1015.55,1019.05,1024.454326216824992654,163376,7075,167371250.00,83581,51.16,22.45,-0.15
13-June-2024,1021.60,1031.35,1014.10,1017.90,1021.485094436646144010,143906,6174,146997834.00,63105,43.85,17.25,-3.70
12-June-2024,1021.00,1028.70,1016.45,1020.75,1023.869524642752989209,34290,2200,35108486.00,13284,38.74,12.25,-0.25
11-June-2024,1034.55,1034.55,1015.10,1017.70,1022.820129632835189352,51993,2654,53179487.00,23754,45.69,19.45,-16.85
10-June-2024,1050.05,1074.35,1020.00,1025.85,1041.529041874955936118,297863,13579,310232965.00,114072,38.30,54.35,-24.20
7-June-2024,1004.90,1045.00,988.00,1021.15,1016.442403899209122677,108740,5021,110527947.00,34617,31.83,57.00,16.25
6-June-2024,995.35,1019.00,983.10,1001.00,1003.052603313716761754,489722,18526,491216927.00,132437,27.04,35.90,5.65
5-June-2024,998.00,1014.50,832.20,952.40,928.292703517236251022,1143085,46152,1061117465.00,253339,22.16,182.30,-45.60
4-June-2024,1202.50,1219.00,977.65,977.65,1061.446484467374748581,1573076,71171,1669735990.00,517673,32.91,241.35,-224.85
3-June-2024,1228.10,1249.00,1183.40,1222.05,1218.301312592297502358,933801,38104,1137650984.00,454354,48.66,65.60,-6.05
31-May-2024,1109.45,1150.80,1103.10,1122.80,1128.869270061694270614,180892,8201,204203420.00,49013,27.10,47.70,13.35
30-May-2024,1086.00,1105.80,1081.75,1096.95,1097.117651640238013645,128396,7779,140865518.00,59027,45.97,24.05,10.95
29-May-2024,1081.05,1099.55,1081.05,1085.80,1089.797676961528162099,89624,4409,97672027.00,37557,41.90,18.50,4.75
28-May-2024,1125.00,1135.00,1081.75,1088.75,1100.667697936563450001,74342,2851,81825838.00,28556,38.41,53.25,-36.25
27-May-2024,1133.45,1133.45,1091.00,1104.00,1109.576884520884520884,50875,2449,56449724.00,19966,39.25,42.45,-29.45
